what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268112818812
opened,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268112868984
activated,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268112869093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.quickStartAction",1268112869156
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1268112882875
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1268112882921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112895140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112901968
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268112901984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268112901984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112908109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112911812
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1268112912171
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1268112912218
opened,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268112912250
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1268112912453
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1268112912515
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1268112912578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268112912609
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1268112912609
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1268112920187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.navigate.linkWithEditor",1268112920296
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.navigate.linkWithEditor",1268112921890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112927171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1268112956281
